#San Francisco State University,,,,,,,,,,
#Synthetic test database for non-constant features having a unimodal distribution,,,,,,,,,,
#Sabiha Hussain Barlaskar,,,,,,,,,,
#11/07/2018,,,,,,,,,,
,,,,,,,,,,
"#The data set in synthetic test database consists of 1000 samples (feature vectors, each with 10 features fi, and class assignment (1 is positive class, 0 is negative).",,,,,,,,,,
4,14,8.321651759,8.973916027,7.626018067,4.096335939,7.162009471,8.569177848,7.032123875,8.089801086,1
2,5,4.604829585,7.312154812,7.704427645,4.089357632,2.806408125,7.456004128,7.613875447,4.423200594,1
6,2,7.357412348,13.56193043,9.042276271,5.431646228,5.548109621,5.648698325,6.004733428,12.95920174,1
1,1,7.481021463,4.730961524,4.328782815,3.801061231,4.921619418,9.185867373,4.854585736,1.881800253,1
6,7,7.557088611,12.91863913,7.870296659,5.680573697,3.86007956,9.426638059,3.610787809,6.722100902,1
4,12,8.464477837,10.78035502,4.910502832,4.133205866,6.052069723,6.222183485,3.513206951,5.781200776,1
6,3,12.0535755,9.194972751,12.11971811,5.027136321,3.221262877,7.115435743,9.092831,4.122500553,1
3,12,8.901451808,-1.105338828,5.757645408,5.21628907,10.68081375,10.86457508,5.464350702,7.430200998,1
2,6,6.990665075,11.90677592,9.041772451,5.451302419,6.888459248,9.44774513,6.81411045,4.258300572,1
2,13,5.417087776,12.41327323,7.305371968,3.306692753,4.340662975,-1.461818085,5.257471007,5.88790079,1
5,10,5.921880437,8.211797766,5.359407414,4.065108892,7.690050571,10.61671587,5.72308616,9.030701212,1
6,1,5.041632817,4.882243172,6.237432587,5.17367801,1.710917632,6.326237624,3.290226427,6.945200932,1
5,4,10.8852265,9.963993893,6.264524275,3.487907212,6.11431475,9.731510964,3.823137077,3.27860044,1
4,4,5.829881579,17.86035041,10.35703916,6.021432605,9.161078407,9.126190337,4.29596716,7.692101033,1
1,7,4.337193331,0.657592828,8.997587957,5.183232548,4.726631276,8.399338906,6.541767317,3.715100499,1
3,14,4.468550462,-2.539762106,3.428941258,3.469724325,6.832843405,8.115777134,0.578993879,4.200100564,1
5,5,7.110665122,5.258614434,8.168107813,3.614532419,8.832013275,6.52871266,2.540708786,7.75030104,1
6,4,7.027462264,7.844642735,7.439391462,2.120067307,5.561313607,8.971017519,6.615953105,4.015800539,1
3,4,8.423947942,11.13249332,12.29051183,4.873575735,4.087467462,8.158193029,6.654602681,6.081900817,1
3,7,7.827044559,7.466520297,8.088841322,7.147123386,9.39986492,8.949800954,5.543883399,6.7027009,1
2,1,8.699550051,13.46641095,10.46447103,5.285813077,5.265075404,15.78438574,4.686011768,6.547500879,1
2,13,5.346030934,5.551973646,7.672711468,5.295010974,6.73783863,10.45124286,7.678473349,5.858800787,1
2,4,6.418919194,2.639324302,5.244853559,3.627791858,7.689924723,6.122168337,2.60398203,5.577500749,1
2,7,8.127851271,20.13113036,5.669948594,5.354473918,8.981395393,9.357460306,5.556966924,8.652401162,1
4,8,7.85181937,12.60561365,6.224432901,4.867968232,9.209778878,5.846730096,9.054241523,2.434700327,1
2,2,5.636557983,7.276153695,8.700566423,5.740137882,5.950897954,6.700291436,3.347751275,4.850000651,1
1,12,7.768651837,12.60772676,8.09040169,4.952206033,6.958323485,8.219327351,5.939133042,6.790000912,1
6,2,7.68030326,19.96260576,9.630703836,4.494420658,4.51248058,8.568274345,2.257412222,6.052800813,1
3,16,5.494938852,5.258762522,8.007001849,3.995963315,4.22300397,6.632233022,1.313153563,7.624201024,1
1,8,7.50532527,5.446654811,7.246623446,3.608726535,4.604259239,1.356286729,3.321560087,8.681501166,1
5,14,7.987079947,-2.636463976,7.589641873,3.605532581,5.177814474,6.051295457,2.255161929,4.500800604,1
5,2,6.164600579,13.56811163,4.98329096,3.475841516,5.684384192,3.450280787,4.83382077,6.760900908,1
2,7,7.935234181,15.72317035,10.4743691,4.844953034,3.359255962,8.941165652,4.450851679,6.722100902,1
1,3,8.257018233,11.95645304,5.177840338,3.736131356,5.517018081,8.935411913,2.305510272,4.529900608,1
4,6,9.901552286,9.542122198,5.873966214,5.210557103,7.450347035,6.136206887,4.290038464,6.634800891,1
4,11,6.266072505,17.59003916,7.195870208,6.469576728,6.785484377,8.074100308,2.99945286,5.480500736,1
5,1,7.906273322,6.171960301,9.442962583,4.808543828,7.122406347,10.06862831,6.013520805,5.208900699,1
2,2,9.097036223,10.77377167,6.846254972,4.141005167,6.48262556,8.424679641,5.679130562,6.673600896,1
5,8,6.077199897,8.739358518,10.22055248,4.29192808,5.025478091,11.55068258,6.004194994,4.84030065,1
5,6,6.820373575,9.534091917,3.383434775,4.655812291,6.252367242,4.948011417,5.854275111,5.529000742,1
3,14,7.832985098,1.096312226,8.25876347,4.199047873,5.956934813,10.33384015,6.558067658,3.841200516,1
4,5,7.020762231,6.769784477,8.313294478,5.414005565,6.354610344,13.28207337,7.004108018,3.589000482,1
2,2,11.02173524,7.283486588,7.854882667,4.427194113,5.823987558,3.926969155,5.582191589,8.1965011,1
6,4,7.908057249,17.49209227,10.2010332,3.78302855,5.640839055,5.519639785,3.623551623,5.082800682,1
5,4,5.79592219,10.51433356,6.78079417,4.465769052,3.765967423,4.618589786,1.857981703,6.450500866,1
2,10,7.532572852,13.79593864,9.783555781,5.737113404,7.365689427,8.535556996,3.900075631,5.14100069,1
3,3,7.505813937,11.6825456,7.664681172,3.818307036,5.372240497,9.591666393,7.832975595,5.635700757,1
4,1,8.794940139,15.59832097,9.581463788,3.396050802,5.037291544,11.09064117,7.408443073,2.53170034,1
6,2,7.740061894,2.165163559,7.484213361,4.132641531,6.853888358,6.583004914,2.629848581,7.585401018,1
1,3,7.97572875,7.425194147,10.33248469,4.195886456,3.265868028,11.32726806,5.533091055,4.985800669,1
3,9,10.59261526,12.71813154,4.552921864,4.342448205,6.568912335,6.354108662,5.740413124,6.159500827,1
4,10,6.200361558,15.34846458,11.02733873,3.120586445,5.411485169,10.38330964,3.218009646,8.002501074,1
3,4,7.709523171,17.22916156,8.000468117,4.479589516,7.345852236,8.565080379,7.800956698,7.469001003,1
5,3,7.34712091,9.673872571,7.861459117,5.757915484,4.571993631,11.14834838,2.81606676,8.351701121,1
6,10,6.574550695,8.800072363,6.621652333,6.052602633,3.928142705,14.40271788,5.17888562,1.542300207,1
3,13,4.868962747,7.426362714,6.789345912,3.841034298,6.936809572,4.887403793,2.735771978,5.858800787,1
5,5,9.500109681,12.1317717,6.612164218,4.475043238,5.719975579,4.3742354,4.382635474,6.159500827,1
3,13,8.931466539,7.854152308,9.482438153,3.839238471,4.881517868,8.571864352,5.863499934,6.838500918,1
1,2,9.289600326,14.93292887,8.171191807,5.874455146,6.301734517,12.68860909,4.631141163,6.431100863,1
6,9,8.22088045,11.08304786,8.328137114,6.062779316,8.089480377,8.245630838,9.048269477,7.410800995,1
2,9,6.117040949,10.74931679,8.751473119,4.976768452,8.447566646,3.656631533,2.688157189,5.693900764,1
5,8,12.50417326,2.565070397,6.718082897,6.836525537,5.427648179,7.09851209,4.456097601,6.634800891,1
1,6,7.688145477,16.66724016,8.723188809,4.859946389,5.391457433,9.902617212,4.313976896,5.965500801,1
4,13,9.970218783,3.71812402,5.920200242,5.28089326,6.312157701,7.311525542,1.747014359,6.382600857,1
3,9,7.018760464,16.37617335,10.33995182,4.586844566,5.938301631,7.188967657,5.388275219,7.847301054,1
2,10,6.012095368,21.47476675,8.084023388,5.762213625,2.972290069,6.445765593,6.52596945,3.598700483,1
2,13,6.190641213,6.262154752,7.493184246,4.3724237,5.637208675,8.109612886,2.94960699,5.461100733,1
6,2,7.639102184,15.25580178,13.63029949,4.406202817,7.510111309,12.65284728,6.851656555,2.53170034,1
1,13,6.575798855,10.32870843,7.528391151,6.61151181,1.098305255,11.36579802,6.188624466,5.383500723,1
1,10,7.800768423,15.00480229,10.36566117,5.134253171,5.736603263,10.44635846,2.467186559,6.896700926,1
1,12,7.074374263,10.79459843,10.69705033,4.385471023,6.846530686,11.17664485,3.112550299,6.343800852,1
6,4,6.48148619,5.287222651,5.069346703,2.885251833,2.920082318,8.14930065,2.755769933,7.187700965,1
10,19,7.620061847,9.659956324,9.039589575,4.005576453,6.061601272,13.87013755,4.240553193,8.885201193,1
3,2,8.694115843,7.249762162,8.764314643,5.35016456,8.390066868,15.28707345,6.724629269,3.850900517,1
6,12,5.663046071,8.48847402,11.62254089,2.964244453,6.066446241,3.536296628,3.879414116,4.365000586,1
1,8,6.335533822,5.308739894,9.124604152,3.594452933,2.668494338,10.59608563,0.828343427,5.053700678,1
2,7,9.549912467,4.618000309,9.834681984,5.046865169,6.537310784,6.458692653,7.573836186,7.798801047,1
2,4,7.686679477,11.25649984,8.15780426,4.242687622,5.353052762,10.22895868,7.292789916,7.653301027,1
5,7,5.740967797,10.21427861,7.5047286,4.867784699,7.776064488,6.187353421,2.538278193,5.06340068,1
2,1,8.276894602,12.2893753,7.738452851,4.285391548,7.133138891,10.03053479,5.500449486,6.052800813,1
1,14,11.8008583,12.41494825,6.451219661,4.211029227,4.46044576,9.910234822,6.93804112,5.519300741,1
2,13,9.710660248,12.80853482,6.10442322,4.640941818,7.149939771,10.94640789,3.403848015,4.801500645,1
1,6,8.314251108,9.741353355,7.242048866,4.375684308,6.875444063,9.772617541,5.558657107,5.102200685,1
4,1,5.718989572,1.391702865,5.673186532,5.443737667,4.610400312,5.13689927,6.57553157,8.138301093,1
1,14,6.667538661,3.637800564,11.95883165,3.482710997,4.125749034,7.205123617,7.007985932,5.926700796,1
6,8,5.908250759,1.522528698,4.538616816,3.844041877,3.271195286,6.111251576,5.55393287,6.896700926,1
5,9,6.872013277,4.544623301,7.899661363,4.497704958,4.42904232,10.10246422,8.543360398,4.452300598,1
3,12,8.989482458,9.133671276,7.131484339,5.373297898,4.101771983,9.89588033,5.926551991,4.850000651,1
1,1,8.302970562,18.49074281,5.396938972,4.153922813,4.117645259,7.251545108,3.782857417,5.14100069,1
4,11,4.126295398,-6.121941172,5.485343215,3.643386507,5.178393942,8.364840481,2.548147365,4.122500553,1
3,13,9.657183631,6.912327255,8.649544011,4.161443813,3.431116388,4.788016219,5.000343956,3.375600453,1
2,3,7.910394607,7.194962142,9.581502774,4.210945675,7.787038679,9.07944975,7.149584952,4.888800656,1
1,7,9.942358896,9.831271631,7.710657708,4.289935454,9.453904973,12.35832951,2.712174932,7.100400953,1
6,11,9.214940302,8.962664294,9.888016883,2.121508865,5.096375416,2.07707202,5.657483311,7.575701017,1
2,3,8.421198456,8.89386089,6.815288184,5.591625677,7.535894742,7.72105623,3.792584714,6.460200867,1
3,14,8.584701611,7.568354815,10.51138543,5.321961991,6.063127231,11.3403474,6.225605534,7.983101072,1
3,5,8.862711728,18.99606704,4.795172524,3.192234805,6.174233333,8.94605082,4.862603638,5.053700678,1
4,10,6.628933995,11.70693451,7.821303424,4.504178468,6.376104897,3.817979987,4.182227836,4.365000586,1
4,11,9.606521262,10.84207698,5.853861926,4.276837116,7.562926724,5.895821239,7.077207084,6.508700874,1
1,19,6.458301017,8.071127123,8.722691452,3.13547856,9.893197431,11.63248323,7.189782836,5.664800761,1
4,4,8.511007146,11.5134584,7.099311519,4.990227854,5.577555649,8.444979391,11.00466161,4.258300572,1
4,12,4.755780483,8.520680604,6.602227167,4.43259234,5.144429446,8.645474367,4.529619828,7.488401005,1
6,7,9.725261373,19.05084182,7.596491714,4.534455957,7.724844753,7.512705802,5.006070677,6.314700848,1
1,3,6.921492249,16.96914796,7.873560173,4.962031757,3.659245369,5.252630784,2.605830837,6.17890083,1
2,1,3.077292928,12.9093298,8.602109413,3.941950405,5.784955597,7.867239331,3.791781742,4.559000612,1
6,11,11.16799965,17.87618571,9.380234168,4.803466543,5.594620343,7.498483966,4.892511652,4.122500553,1
1,11,6.082451592,4.554911433,5.83527902,2.891238087,5.256530865,5.01252576,7.197923401,4.879100655,1
5,5,9.363765795,12.32582046,5.244397918,4.938927324,8.634165033,8.626507482,5.80388588,6.819100915,1
6,14,8.437754247,6.599391309,9.311603966,5.199879109,7.510027992,9.013329383,4.824033373,5.06340068,1
2,2,6.050405656,9.985917583,8.51165688,4.60126032,7.173209969,10.4909267,4.623762683,10.4372014,1
1,14,3.22311577,6.231327231,7.499108637,4.298613238,5.317708578,7.538054771,6.114599765,4.520200607,1
1,9,4.91665779,6.096201864,6.440765137,4.784868267,8.385872625,10.83151824,7.385064752,8.303201115,1
4,9,12.10198882,17.68200268,5.663170021,4.703981889,7.470903138,10.33895492,4.655038707,7.081000951,1
5,2,7.450200138,17.30584904,11.58970782,4.452561419,3.575887411,4.987987652,5.827502137,7.275000977,1
5,6,10.87366335,1.598910477,4.77340432,3.688291075,7.480934385,7.829637198,4.625856816,3.123400419,1
2,13,7.101833797,10.72912813,8.999320653,5.086664337,4.272747578,9.87184145,3.613300177,6.770600909,1
4,1,5.887102678,4.621722687,8.864890209,4.131831431,4.996579581,3.556031593,2.616866043,4.69480063,1
3,12,6.767838965,11.39376261,6.021235938,5.810024532,3.870466982,11.16519785,4.868731844,8.943401201,1
2,3,8.700627473,8.824784146,5.639976279,4.856407801,6.679542917,8.357159313,7.392623531,5.432000729,1
5,9,8.593144358,11.3566253,6.230723795,3.138273702,4.389634027,8.593407863,6.787135501,7.886101059,1
2,8,4.203051389,15.83620706,9.064599691,5.154733519,5.855669146,9.645128166,7.108300344,6.731800904,1
5,5,9.90490819,7.433723464,8.577069746,3.986783897,5.999956875,6.42783602,5.574878136,3.152500423,1
1,6,4.874261542,5.158147778,4.746933653,5.418700937,3.094698607,10.30038219,4.738913367,5.305900712,1
2,11,11.00666311,7.548213289,7.979775088,4.812163127,7.419658488,10.30506014,6.350844113,6.440800865,1
4,13,6.591247787,9.30086205,10.49926723,3.571483069,5.864473479,10.2394971,6.544298897,5.461100733,1
3,11,7.836994519,13.06189741,8.95047144,4.662032304,4.010984621,6.561869988,7.186164534,6.537800878,1
3,3,8.554380728,15.12855097,8.066171515,5.55493407,6.932277243,15.55010902,7.462145181,7.905501061,1
4,8,8.304042096,9.255696854,8.636080493,5.846959854,10.63374974,12.6482035,5.161818268,7.624201024,1
1,10,6.047844572,6.256060689,10.54101706,4.82772524,5.282958198,6.845896054,7.488112719,8.972501205,1
5,9,6.947850811,14.45633643,6.79176295,3.797785307,6.187242223,12.21801041,3.237627791,5.36410072,1
3,12,7.393879834,15.16499352,8.529664457,6.147391446,5.387092005,16.60959136,6.472945188,8.797901181,1
3,4,8.15743621,6.89389814,8.65354675,4.765353907,6.92769863,7.006051763,9.398899961,5.693900764,1
4,9,7.476570475,8.176893788,6.634938819,5.153915366,4.624046067,10.83730846,3.531416199,6.887000925,1
1,2,6.714173946,9.269081186,5.893632489,6.245222104,2.561383361,13.23656084,3.235134635,7.013100942,1
2,8,9.649694667,15.02447118,7.068067366,5.21090616,5.336051022,4.992557264,3.908516694,6.246800839,1
1,10,4.682810186,11.1760128,9.53547633,5.097544345,5.9408146,10.56824876,5.846175434,4.995500671,1
2,9,5.64478289,19.12619883,7.567143151,4.416445832,5.980503317,8.13507058,4.397428394,6.25650084,1
2,1,6.899631775,20.45700637,6.442087126,5.490742896,6.317919428,10.68833051,4.337352754,4.908200659,1
1,5,8.991048546,16.51072658,7.24194383,3.434590364,4.999720844,10.07344322,6.422599308,4.054600544,1
5,12,7.803041018,11.57889583,3.588016803,3.796023276,6.600387772,5.988016641,5.624442719,2.9779004,1
1,3,5.656016336,10.69915038,9.623258065,5.891702209,7.120003887,10.3161912,5.17607029,4.316500579,1
4,11,9.453386083,17.13914494,4.990787642,4.823367708,5.837752127,4.655606356,9.828801067,4.753000638,1
5,6,4.665194636,11.28459091,5.359992423,5.115201906,5.455471336,6.465293725,5.78728504,4.801500645,1
6,14,6.053802773,4.238738324,9.745947737,4.346043812,8.809096237,6.355356347,6.342061664,4.762700639,1
5,3,8.187898395,10.09907548,6.875878412,3.976327185,7.498370859,9.094888262,4.889756422,7.275000977,1
2,13,10.57649515,18.78664085,4.003328489,4.268910832,7.174907852,12.52016857,7.558139306,6.741500905,1
3,9,9.431101705,2.468566149,10.1216212,3.877339421,5.725056639,11.56187566,2.767769198,7.042200945,1
6,4,6.488851515,13.73302288,7.059597571,4.682367658,4.255057605,11.26515883,5.456472212,6.712400901,1
2,6,6.244995076,16.22380504,9.768487933,3.939468942,7.58007976,8.538659548,7.808815976,6.489300871,1
2,8,9.184843146,13.41305618,6.985572374,6.570425712,7.050515716,15.23619223,4.496355586,7.789101046,1
2,13,8.910271358,6.798240313,9.994128249,7.080271638,3.75603838,8.504434282,6.954303036,2.250400302,1
1,11,6.080520475,11.15202721,10.92423065,5.258747231,6.733133902,9.414973996,3.546271682,2.648100356,1
6,7,4.311812102,21.54388183,5.158772239,2.998788337,5.889654538,1.76273764,1.810143264,11.1841015,1
5,4,4.447749747,7.842361534,9.870248929,3.035180644,6.342413525,7.784561114,4.912048021,4.122500553,1
